Rank,Company Name,Ticker Symbol,Index Weight %,Stock Price,Day Change $,Day Change %
1,Nvidia,NVDA,7.65,195.62,4.13,-2.16
2,Microsoft,MSFT,6.47,542.62,11.10,-2.09
3,Apple Inc.,AAPL,6.41,269.05,0.24,-0.09
4,Amazon,AMZN,3.93,229.63,2.66,-1.17
5,Meta Platforms,META,3.04,754.38,3.56,-0.47
6,Broadcom,AVGO,2.80,369.42,7.37,-2.03
7,Alphabet Inc. (Class A),GOOGL,2.69,268.04,-1.23,-0.46
8,Alphabet Inc. (Class C),GOOG,2.52,268.78,-1.15,-0.43
9,"Tesla, Inc.",TSLA,2.48,464.90,12.48,2.76
10,Berkshire Hathaway,BRK.B,1.68,484.36,-3.71,-0.76
11,JPMorgan Chase,JPM,1.33,304.47,0.31,0.10
12,Walmart,WMT,1.33,103.63,-0.84,-0.80
13,Oracle Corporation,ORCL,1.30,283.80,2.40,0.85
14,Lilly (Eli),LLY,1.18,819.23,-7.18,-0.87
15,Visa Inc.,V,1.09,348.25,0.43,0.12
16,Mastercard,MA,0.83,569.27,-3.09,-0.54
17,ExxonMobil,XOM,0.79,115.43,-0.51,-0.44
18,Netflix,NFLX,0.75,1104.58,10.02,0.91
19,Johnson & Johnson,JNJ,0.73,187.53,-2.77,-1.46
20,Palantir Technologies,PLTR,0.72,188.11,-1.07,-0.56
21,Advanced Micro Devices,AMD,0.68,262.30,2.63,1.01
22,Costco,COST,0.66,924.06,-5.79,-0.62
23,AbbVie,ABBV,0.65,227.96,-0.07,-0.03
24,Home Depot (The),HD,0.62,389.21,3.94,1.02
25,Bank of America,BAC,0.62,52.65,-0.37,-0.70
26,Procter & Gamble,PG,0.57,152.62,0.88,0.58
27,UnitedHealth Group,UNH,0.55,376.19,10.21,2.79
28,GE Aerospace,GE,0.53,311.95,-0.89,-0.29
29,Chevron Corporation,CVX,0.50,154.79,-0.49,-0.32
30,Coca-Cola Company (The),KO,0.49,70.45,0.39,0.56
31,IBM,IBM,0.48,317.77,4.68,1.50
32,Cisco,CSCO,0.46,71.96,0.56,0.79
33,Wells Fargo,WFC,0.44,86.84,-0.17,-0.20
34,Morgan Stanley,MS,0.42,164.71,-1.31,-0.79
35,Micron Technology,MU,0.40,222.49,2.39,1.08
36,American Express,AXP,0.40,362.06,0.38,0.11
37,T-Mobile US,TMUS,0.40,220.98,0.30,0.13
38,Caterpillar Inc.,CAT,0.40,527.41,0.34,0.06
39,Salesforce,CRM,0.39,258.02,2.55,1.00
40,Goldman Sachs,GS,0.39,790.35,0.36,0.05
41,RTX Corporation,RTX,0.39,179.70,0.46,0.26
42,Philip Morris International,PM,0.37,148.86,-4.35,-2.84
43,Abbott Laboratories,ABT,0.35,126.88,-0.30,-0.24
44,McDonald's,MCD,0.35,309.25,-0.75,-0.24
45,Merck & Co.,MRK,0.35,87.32,-0.68,-0.78
46,AppLovin Corporation,APP,0.34,624.59,-18.51,-2.88
47,Thermo Fisher Scientific,TMO,0.34,558.88,-4.90,-0.87
48,Linde plc,LIN,0.33,443.96,-0.86,-0.19
49,PepsiCo,PEP,0.33,151.71,-0.92,-0.60
50,Intel,INTC,0.32,42.36,2.82,7.13
51,Walt Disney Company (The),DIS,0.32,111.87,-0.47,-0.42
52,Uber,UBER,0.32,96.23,-0.19,-0.20
53,Arista Networks,ANET,0.32,156.79,-0.02,-0.02
54,Qualcomm,QCOM,0.32,182.55,-5.14,-2.74
55,ServiceNow,NOW,0.31,940.30,-5.99,-0.63
56,Lam Research,LRCX,0.31,154.67,-2.23,-1.42
57,Intuitive Surgical,ISRG,0.31,543.34,-7.91,-1.44
58,Intuit,INTU,0.31,685.48,2.09,0.31
59,Applied Materials,AMAT,0.29,229.16,-2.17,-0.94
60,AT&T,T,0.29,25.53,0.00,0.01
61,Citigroup,C,0.29,100.69,-0.30,-0.29
62,BlackRock,BLK,0.28,1131.57,0.26,0.02
63,NextEra Energy,NEE,0.28,84.23,-1.80,-2.09
64,Charles Schwab Corporation,SCHW,0.27,93.88,-0.96,-1.02
65,Boeing,BA,0.27,224.92,1.92,0.86
66,Booking Holdings,BKNG,0.27,5215.76,-38.64,-0.74
67,Verizon,VZ,0.27,39.38,0.15,0.38
68,Amphenol,APH,0.27,135.95,0.04,0.03
69,TJX Companies,TJX,0.26,143.49,0.22,0.15
70,KLA Corporation,KLAC,0.25,1201.82,-13.31,-1.10
71,Accenture,ACN,0.25,254.14,3.37,1.35
72,Amgen,AMGN,0.25,291.58,0.42,0.15
73,GE Vernova,GEV,0.25,576.22,-8.17,-1.40
74,Danaher Corporation,DHR,0.25,218.42,-2.59,-1.17
75,Texas Instruments,TXN,0.25,168.62,-0.79,-0.47
76,Adobe Inc.,ADBE,0.24,361.93,4.13,1.16
77,S&P Global,SPGI,0.24,495.30,-1.34,-0.27
78,Palo Alto Networks,PANW,0.24,222.39,2.10,0.95
79,Boston Scientific,BSX,0.24,101.43,-1.00,-0.98
80,Eaton Corporation,ETN,0.24,378.65,-1.09,-0.29
81,Gilead Sciences,GILD,0.24,118.47,-2.00,-1.66
82,Stryker Corporation,SYK,0.23,378.03,-5.69,-1.48
83,Capital One,COF,0.23,221.40,-2.09,-0.94
84,Pfizer,PFE,0.22,24.57,-0.20,-0.81
85,Lowe's,LOW,0.22,245.90,2.25,0.92
86,CrowdStrike,CRWD,0.22,544.79,15.09,2.85
87,Honeywell,HON,0.22,214.76,-0.31,-0.15
88,"Robinhood Markets, Inc.",HOOD,0.21,146.82,0.96,0.66
89,Union Pacific Corporation,UNP,0.21,219.31,1.08,0.50
90,Deere & Company,DE,0.20,471.70,-6.40,-1.34
91,Progressive Corporation,PGR,0.20,214.24,-2.35,-1.08
92,Welltower,WELL,0.19,180.33,-2.28,-1.25
93,Constellation Energy,CEG,0.19,385.93,-5.22,-1.34
94,Medtronic,MDT,0.19,93.80,-0.33,-0.35
95,Blackstone Inc.,BX,0.19,152.08,-1.77,-1.15
96,Analog Devices,ADI,0.19,240.95,-2.06,-0.85
97,Prologis,PLD,0.19,126.41,-0.67,-0.53
98,Automatic Data Processing,ADP,0.18,281.20,0.67,0.24
99,Lockheed Martin,LMT,0.18,487.26,0.35,0.07
100,DoorDash,DASH,0.18,260.98,-2.37,-0.90
101,Dell Technologies,DELL,0.18,165.31,3.12,1.92
102,Chubb Limited,CB,0.18,277.79,-3.89,-1.38
103,ConocoPhillips,COP,0.17,87.29,-1.40,-1.58
104,HCA Healthcare,HCA,0.17,464.88,-2.98,-0.64
105,Comcast,CMCSA,0.17,29.25,-0.17,-0.58
106,KKR,KKR,0.17,121.13,-1.14,-0.93
107,Vertex Pharmaceuticals,VRTX,0.17,420.06,-0.11,-0.03
108,Altria,MO,0.17,63.34,-0.40,-0.62
109,CVS Health,CVS,0.17,82.41,-0.05,-0.05
110,Southern Company,SO,0.17,93.99,-1.41,-1.47
111,"Nike, Inc.",NKE,0.16,68.40,-0.19,-0.27
112,McKesson Corporation,MCK,0.16,808.66,-2.78,-0.34
113,Starbucks,SBUX,0.16,86.46,-0.76,-0.87
114,Duke Energy,DUK,0.16,126.05,-1.44,-1.13
115,Parker Hannifin,PH,0.16,770.26,-3.92,-0.51
116,CME Group,CME,0.16,268.94,-2.15,-0.79
117,Trane Technologies,TT,0.15,429.98,1.70,0.40
118,General Dynamics,GD,0.15,348.56,-5.21,-1.47
119,Cadence Design Systems,CDNS,0.15,343.76,-7.64,-2.17
120,Coinbase Global,COIN,0.15,360.03,-1.40,-0.39
121,Intercontinental Exchange,ICE,0.15,158.87,-0.97,-0.61
122,Marsh McLennan,MMC,0.14,184.20,-3.42,-1.82
123,3M,MMM,0.14,167.55,-0.85,-0.50
124,Sherwin-Williams,SHW,0.14,354.10,18.02,5.36
125,Moody's Corporation,MCO,0.14,494.82,-0.26,-0.05
126,Bristol Myers Squibb,BMY,0.14,43.10,-0.29,-0.66
127,Newmont,NEM,0.14,78.90,0.27,0.34
128,American Tower,AMT,0.14,182.83,-6.90,-3.63
129,Northrop Grumman,NOC,0.14,596.17,0.22,0.04
130,Synopsys,SNPS,0.13,451.82,-13.59,-2.92
131,Waste Management,WM,0.13,206.71,-7.06,-3.30
132,Cigna,CI,0.13,310.90,1.72,0.56
133,O'Reilly Auto Parts,ORLY,0.13,97.07,1.28,1.33
134,Howmet Aerospace,HWM,0.13,202.90,1.06,0.52
135,United Parcel Service,UPS,0.13,96.44,7.22,8.09
136,Equinix,EQIX,0.13,821.75,-21.02,-2.49
137,Mondelez International,MDLZ,0.13,61.90,0.24,0.38
138,Airbnb,ABNB,0.13,128.69,-0.38,-0.29
139,Royal Caribbean Group,RCL,0.13,290.03,-30.23,-9.44
140,Elevance Health,ELV,0.12,346.36,3.87,1.13
141,Ecolab,ECL,0.12,269.14,-10.57,-3.78
142,Emerson Electric,EMR,0.12,135.15,0.69,0.52
143,TransDigm Group,TDG,0.12,1342.95,-11.52,-0.85
144,Cintas,CTAS,0.12,188.10,-0.58,-0.31
145,BNY Mellon,BK,0.12,108.19,0.61,0.57
146,Corning Inc.,GLW,0.12,86.40,-2.98,-3.33
147,Motorola Solutions,MSI,0.12,444.20,0.20,0.05
148,Johnson Controls,JCI,0.12,112.57,-0.48,-0.43
149,U.S. Bancorp,USB,0.12,47.33,-0.47,-0.99
150,PayPal,PYPL,0.12,76.33,6.08,8.65
151,Marriott International,MAR,0.12,268.11,-3.10,-1.14
152,Apollo Global Management,APO,0.12,125.62,-0.75,-0.59
153,Illinois Tool Works,ITW,0.12,246.39,-1.42,-0.57
154,PNC Financial Services,PNC,0.11,182.22,-2.64,-1.43
155,Aon,AON,0.11,331.50,-5.37,-1.59
156,TE Connectivity,TEL,0.11,238.24,1.50,0.63
157,Williams Companies,WMB,0.11,57.42,-0.26,-0.44
158,Arthur J. Gallagher & Co.,AJG,0.11,271.72,-7.28,-2.61
159,Fiserv,FI,0.11,127.93,1.39,1.10
160,Republic Services,RSG,0.11,218.84,-2.20,-1.00
161,Regeneron Pharmaceuticals,REGN,0.11,637.89,52.58,8.98
162,Monster Beverage,MNST,0.11,68.59,-1.09,-1.57
163,Autodesk,ADSK,0.11,313.58,0.05,0.02
164,Fortinet,FTNT,0.11,86.61,1.32,1.55
165,CSX Corporation,CSX,0.11,35.54,-0.46,-1.27
166,General Motors,GM,0.10,70.06,0.68,0.98
167,Quanta Services,PWR,0.10,438.47,-3.36,-0.76
168,Vistra Corp.,VST,0.10,192.63,-6.67,-3.34
169,Cencora,COR,0.10,335.49,-0.56,-0.17
170,Zoetis,ZTS,0.10,146.60,-0.93,-0.63
171,AutoZone,AZO,0.10,3861.05,46.84,1.23
172,"Workday, Inc.",WDAY,0.10,239.88,0.97,0.40
173,Norfolk Southern Railway,NSC,0.10,282.50,0.86,0.31
174,Colgate-Palmolive,CL,0.10,77.33,-0.50,-0.64
175,American Electric Power,AEP,0.10,115.49,-0.90,-0.77
176,Hilton Worldwide,HLT,0.10,262.83,-3.39,-1.27
177,Sempra,SRE,0.10,92.87,-0.31,-0.33
178,Travelers Companies (The),TRV,0.10,270.27,-0.07,-0.03
179,Digital Realty,DLR,0.10,175.14,-3.00,-1.68
180,Freeport-McMoRan,FCX,0.10,41.66,0.56,1.36
181,FedEx,FDX,0.10,251.75,4.41,1.78
182,Axon Enterprise,AXON,0.10,754.77,5.76,0.77
183,Marathon Petroleum,MPC,0.09,193.74,-2.49,-1.27
184,Simon Property Group,SPG,0.09,177.53,-2.25,-1.25
185,EOG Resources,EOG,0.09,106.01,-0.77,-0.72
186,Kinder Morgan,KMI,0.09,25.94,-0.21,-0.82
187,Cummins,CMI,0.09,417.92,-3.14,-0.75
188,Aflac,AFL,0.09,106.89,-0.66,-0.62
189,United Rentals,URI,0.09,894.20,-6.14,-0.68
190,Air Products,APD,0.09,255.52,-0.24,-0.10
191,Truist Financial,TFC,0.09,44.32,-0.32,-0.71
192,NXP Semiconductors,NXPI,0.09,219.95,-1.62,-0.73
193,Datadog,DDOG,0.09,157.25,-0.37,-0.24
194,Phillips 66,PSX,0.09,135.31,-0.11,-0.08
195,Chipotle Mexican Grill,CMG,0.09,40.67,-0.40,-0.96
196,Realty Income,O,0.09,59.42,-0.98,-1.62
197,L3Harris,LHX,0.09,289.92,-1.22,-0.42
198,Schlumberger,SLB,0.09,35.89,-0.27,-0.76
199,Becton Dickinson,BDX,0.09,185.11,-1.93,-1.03
200,Paccar,PCAR,0.08,100.38,-0.70,-0.69
201,MetLife,MET,0.08,79.02,0.15,0.19
202,Ford Motor Company,F,0.08,13.19,-0.07,-0.56
203,Public Storage,PSA,0.08,299.15,-1.19,-0.40
204,Valero Energy,VLO,0.08,171.92,-2.43,-1.39
205,Monolithic Power Systems,MPWR,0.08,1094.91,-10.14,-0.92
206,Ross Stores,ROST,0.08,160.97,0.24,0.15
207,Warner Bros. Discovery,WBD,0.08,20.99,-0.05,-0.22
208,Idexx Laboratories,IDXX,0.08,641.44,-5.96,-0.92
209,Dominion Energy,D,0.08,59.95,-0.85,-1.40
210,"Nasdaq, Inc.",NDAQ,0.08,88.73,-0.05,-0.05
